section;p_nr;p_title;p_room;p_day;p_time;p_chair;p_discussant;authors;title
Conflict and Security;1909;Gender and Conflict;MP6-5;Thursday;15:00;Katharina Pfaff;Bar Nadel;Leslie Aileen Virginia Fischer;Gendered War Experiences & Responsiveness: A natural experiment on the political consequences of indifference to conflict-related sexual violence
Conflict and Security;1909;Gender and Conflict;MP6-5;Thursday;15:00;Katharina Pfaff;Bar Nadel;Liran Harsgor, Reut Itzkovitch-Malka, Odelia Oshri;The gender gap in support for conflict resolution
Conflict and Security;1909;Gender and Conflict;MP6-5;Thursday;15:00;Katharina Pfaff;Bar Nadel;Francisca Castro;Guerrilla Shadows on Gender: The Lingering Effects of the Peruvian Internal Armed Conflict on Women's Political Aspirations
Conflict and Security;1909;Gender and Conflict;MP6-5;Thursday;15:00;Katharina Pfaff;Bar Nadel;Alina Greiner, Ajla Henic, Lennart Kasserra, Max Schaub;Wartime sexual violence and trust: the lasting legacy of World War II
Political Methodology;2004;Measurement and Data Collection 1;MP5-Barcelona;Thursday;15:00;Matteo C.M. Casiraghi;Haishan Yuan;Adrián del Rio, Wooseok Kim, Carl Henrik Knutsen, Eugenia Nazrullaeva, Anja Neundorf, Agustina;Paglayan How Data Collection Methods Affect Inferences: Lessons from Three Education Data Sets
Political Methodology;2004;Measurement and Data Collection 1;MP5-Barcelona;Thursday;15:00;Matteo C.M. Casiraghi;Haishan Yuan;Matteo C.M. Casiraghi, Jonathan Moyer, Adam Szymanski-Burgos, Collin Meisel;When HOGS fly: Introducing the COLT dataset, a global record of foreign travel by heads of government and state
Political Methodology;2004;Measurement and Data Collection 1;MP5-Barcelona;Thursday;15:00;Matteo C.M. Casiraghi;Haishan Yuan;James Hollyer, Haosen Ge, B. Peter Rosendorff, James Raymond Vreeland;Disclosure and Delay: The Political Economy of Data Updating
Political Methodology;2004;Measurement and Data Collection 1;MP5-Barcelona;Thursday;15:00;Matteo C.M. Casiraghi;Haishan Yuan;Nina Wiesehomeier, Matthew Singer, Saskia Ruth-Lovell;Are Experts Biased Against Populist Parties? Using expert sympathy to correct for bias in party positions across different policy dimensions.
Political Methodology;2004;Measurement and Data Collection 1;MP5-Barcelona;Thursday;15:00;Matteo C.M. Casiraghi;Haishan Yuan;Theresa Kuhn, Armin Seimel, John Michaelis;A Longitudinal Perspective on European Identity
Political Economy;1212;The Declining Support for Globalization;MP8-Large;Thursday;15:00;Ye June Jung;Robert Huber;Zikai Li, Yen-Chieh (David) Liao;Shock Rhetoric: Local Exposure to Trade Shocks and Rhetorical Extremism in the US House of Representatives
Political Economy;1212;The Declining Support for Globalization;MP8-Large;Thursday;15:00;Ye June Jung;Robert Huber;Andreas Dür, Robert A. Huber, Gemma Mateo;Navigating the Trade Backlash: A Comparative Study of Legislators and Voters
Political Economy;1212;The Declining Support for Globalization;MP8-Large;Thursday;15:00;Ye June Jung;Robert Huber;Timm Betz, Leonhard Hummel;Production Networks and US Anti-Dumping Petitions
International Relations;2115;Political Violence 1;MP5-SanFrancisco;Thursday;15:00;Clara Egger;Werner Krause;Graig R. Klein;Taking Advantage of Government Repression: How Terrorist Groups Adapt Domestic Terrorism Target Selection To Recruit
International Relations;2115;Political Violence 1;MP5-SanFrancisco;Thursday;15:00;Clara Egger;Werner Krause;Mathilde Emeriau, Stephane Wolton;In or Out? Xenophobic Violence and Immigrant Integration. Evidence from 19th century France
International Relations;2115;Political Violence 1;MP5-SanFrancisco;Thursday;15:00;Clara Egger;Werner Krause;Clara Egger, Raul Magni-Berton, Simon Varaine;Does hate for liberal values or retaliation explain target selection strategy of the Islamic State?
International Relations;2115;Political Violence 1;MP5-SanFrancisco;Thursday;15:00;Clara Egger;Werner Krause;Kasia Nalewajko;What is a Pogrom, Anyway? A New Categorisation of “Pogrom” Violence
Political Behavior;1020;Causes of Affective Polarization;MP6-1;Thursday;17:00;Lukas Warode;Luana Russo;Liran Harsgor, Yaniv Shapira;District Magnitude and Affective Polarization: A Complex Relationship
Political Behavior;1020;Causes of Affective Polarization;MP6-1;Thursday;17:00;Lukas Warode;Luana Russo;Alina Vranceanu;Far-right parties and affective polarization: the role of voters’ immigration attitudes and democratic beliefs
Political Behavior;1020;Causes of Affective Polarization;MP6-1;Thursday;17:00;Lukas Warode;Luana Russo;Oguzhan Alkan;The Effect of Coalitions on Affective Polarization
Political Behavior;1020;Causes of Affective Polarization;MP6-1;Thursday;17:00;Lukas Warode;Luana Russo;Tobias Widmann, Kristina Simonsen;Moral Misperceptions: How Moral-Emotional Elite Rhetoric Shapes Misperceptions, Polarization, and Intolerance
Political Behavior;1020;Causes of Affective Polarization;MP6-1;Thursday;17:00;Lukas Warode;Luana Russo;Lukas Warode;Disentangling the Perception of Political Ideology among Political Elites: Evidence from Germany
Political Behavior;1023;Liberalism: On the Rise and Under Pressure;MP6-2;Thursday;17:00;Simon Hix;Brandice Canes-Wrone;Simon Hix;New Young Liberals: The (Re)Emergence of a Political Force in European Politics
Political Behavior;1023;Liberalism: On the Rise and Under Pressure;MP6-2;Thursday;17:00;Simon Hix;Brandice Canes-Wrone;Danie Stockmann, Philipp Darius;How to govern social media in liberal democracy? Multi-level governance under the Digital Services Act in the European Union
Political Behavior;1023;Liberalism: On the Rise and Under Pressure;MP6-2;Thursday;17:00;Simon Hix;Brandice Canes-Wrone;Chun-Young Park, Amanda Murdie;Civil Society Under Siege: Chinese Foreign Aid and Closing Civil Society
Political Behavior;1023;Liberalism: On the Rise and Under Pressure;MP6-2;Thursday;17:00;Simon Hix;Brandice Canes-Wrone;Richard Traunmüller, Jan Menzner;The Cost of Speaking Freely in a Liberal Democracy
Political Behavior;1023;Liberalism: On the Rise and Under Pressure;MP6-2;Thursday;17:00;Simon Hix;Brandice Canes-Wrone;Kathrin Ackermann;What actually makes a good citizen? Analyzing citizenship beliefs using a conjoint experiment
Political Behavior;1029;Elite Cues and Heuristics 2;MP7-20;Thursday;17:00;Jan Berz;Bernd Schlipphak;Josefine Magnusson;What we take from out-party cues: The role of out-party cues in attitude formation
Political Behavior;1029;Elite Cues and Heuristics 2;MP7-20;Thursday;17:00;Jan Berz;Bernd Schlipphak;Markus Jokela, Jaakko Meriläinen, Janne Tukiainen, Åsa von Schoultz;Electoral performance associated with politicians’ cognitive ability and personality: Registry analysis of Finnish municipality elections 1996–2017
Political Behavior;1029;Elite Cues and Heuristics 2;MP7-20;Thursday;17:00;Jan Berz;Bernd Schlipphak;Isabella Rebasso, Semih Cakir, Markus Wagner;From Leader Profiles to Voter Perceptions: Sociodemographic and Policy Cues.
Political Behavior;1029;Elite Cues and Heuristics 2;MP7-20;Thursday;17:00;Jan Berz;Bernd Schlipphak;Asli Ceren Cinar;Vocal Chameleons: How Politicians Adapt Their Voices to Appeal to Voters
Political Representation;1119;Gender Representation 2;MP5-Köln;Thursday;17:00;Lasse Lausten;Ingvild Oline Zinober;Louisa Boulaziz;Attitudes or strategic constraints? Gender and judging revisited
Political Representation;1119;Gender Representation 2;MP5-Köln;Thursday;17:00;Lasse Lausten;Ingvild Oline Zinober;Meray Maddah, Thomas Malang;Promotion of Female Representation in International Organizations. Descriptive and Substantive Effects
Political Representation;1119;Gender Representation 2;MP5-Köln;Thursday;17:00;Lasse Lausten;Ingvild Oline Zinober;Lasse Laustsen, Claire Gothreau;Political Gender Stereotypes across 20 Countries: Patterns and Relationships with Voter Preferences and Women’s Representation
Political Representation;1119;Gender Representation 2;MP5-Köln;Thursday;17:00;Lasse Lausten;Ingvild Oline Zinober;Jana Boukemia;Visual Representation in Politics: Examining the Impact of Politicians' Tailored Visual Group Appeals on Female Voters' Trust
Political Representation;1119;Gender Representation 2;MP5-Köln;Thursday;17:00;Lasse Lausten;Ingvild Oline Zinober;Ingvild Zinober, Tarek JAZIRI ARJONA;Local Female Political Representation and the Gender Gap in Green Voting
Political Representation;1125;Political Speech 2;MP6-5;Thursday;17:00;Helena Heberer;Bruno Castanho Silva;Sarah Ledoux;Who’s Asking? Representatives’ Policy Prioritisation in Twitter Responses and Congress Speeches in Mexico and Brazil
Political Representation;1125;Political Speech 2;MP6-5;Thursday;17:00;Helena Heberer;Bruno Castanho Silva;Helena Heberer;Using word embeddings to quantify gender bias in political speech
Political Representation;1125;Political Speech 2;MP6-5;Thursday;17:00;Helena Heberer;Bruno Castanho Silva;Silvia Decadri, Giovanni Pagano, Fabio Franchino;Post-Defeat Communication Strategies of Political Candidates on Twitter-X
Political Representation;1125;Political Speech 2;MP6-5;Thursday;17:00;Helena Heberer;Bruno Castanho Silva;Lukas Birkenmaier, Constantin Wurthmann, Marius Sältzer;Places in Political Communication - Deconstructing Politician's Spatial Framing Using Text as Data
Political Economy;1210;Preference for Redistribution 2;MP7-222;Thursday;17:00;Nestor Castaneda;Alessia Aspide;Josep Serrano-Serrat, Ignacio Jurado;South-South Immigration and Redistribution Preferences
Political Economy;1210;Preference for Redistribution 2;MP7-222;Thursday;17:00;Nestor Castaneda;Alessia Aspide;Gaetano Inglese;Unmet Expectations. The long-term attitudinal effects of (bad) formative economic experiences
Political Economy;1210;Preference for Redistribution 2;MP7-222;Thursday;17:00;Nestor Castaneda;Alessia Aspide;Leo Ahrens, Alexander Horn;Public opinion and egalitarianism in party platforms: party responsiveness, voter responsiveness, or mere correlation?
Political Economy;1210;Preference for Redistribution 2;MP7-222;Thursday;17:00;Nestor Castaneda;Alessia Aspide;Anna Clemente, Giuliano Formisano;Mind the Bricks: Fairness Beliefs and Local Housing Inequality in the UK
Political Economy;1210;Preference for Redistribution 2;MP7-222;Thursday;17:00;Nestor Castaneda;Alessia Aspide;Nestor Castaneda;Fairness and Tax Morale in Developing Countries
Public Policy and Administration;1306;Anti-Corruption Policies;MP7-313;Thursday;17:00;Aksel Sundström;Julian Voss;Mathias Poertner, Sarah Brierley;Cross-Party Anti-Corruption Platforms and Voter Attitudes
Public Policy and Administration;1306;Anti-Corruption Policies;MP7-313;Thursday;17:00;Aksel Sundström;Julian Voss;Julian Voss;Information about Corruption and Voting Behavior: Evidence from a Natural Experiment in Germany
Public Policy and Administration;1306;Anti-Corruption Policies;MP7-313;Thursday;17:00;Aksel Sundström;Julian Voss;Sharon Pailler, Aksel Sundström, Stephen Dawson;Political spillovers of conservation: The establishment of protected areas and corruption in Africa
Public Policy and Administration;1306;Anti-Corruption Policies;MP7-313;Thursday;17:00;Aksel Sundström;Julian Voss;Guillermo Toral;Street-level Rule of Law: Prosecutor Presence and the Fight Against Corruption
Public Opinion and Political Communication;1409;Opinions on War and Sanctions;MP8-Small;Thursday;17:00;Kerim Can Kavakli;Franziska Keller;Jaroslaw Kantorowicz, Elena Reznichenko;Enhancing Public Support for International Sanctions
Public Opinion and Political Communication;1409;Opinions on War and Sanctions;MP8-Small;Thursday;17:00;Kerim Can Kavakli;Franziska Keller;Lukas Rudolph, Fabian Haggerty, Paul Thurner;How the West Thinks about the War in Ukraine: A Survey Experiment in the US, UK, France, Germany, and Italy
Public Opinion and Political Communication;1409;Opinions on War and Sanctions;MP8-Small;Thursday;17:00;Kerim Can Kavakli;Franziska Keller;Julia Grauvogel, Hana Attia, Anton Peez;Public Opinion on Sanctions Compliance and Evasion: Evidence from the 2022–23 Sanctions on Russia
Public Opinion and Political Communication;1409;Opinions on War and Sanctions;MP8-Small;Thursday;17:00;Kerim Can Kavakli;Franziska Keller;Artur Baranov, Johan Dornschneider-Elkink, Franziska Keller, Hans Hanpu Tung;The Diffusion of Expert Opinion and the Risk of Echo Chambers
Public Opinion and Political Communication;1422;Fake News;MP5-SanFrancisco;Thursday;17:00;Caroline Leicht;Daniel Auer;Yilin Su;Fake News Labels and Public Opinion in Non-Democracies
Public Opinion and Political Communication;1422;Fake News;MP5-SanFrancisco;Thursday;17:00;Caroline Leicht;Daniel Auer;Daniel Auer, Marta Antonova, Markus Freitag;How conspiracy beliefs proliferate during crisis
Public Opinion and Political Communication;1422;Fake News;MP5-SanFrancisco;Thursday;17:00;Caroline Leicht;Daniel Auer;Caroline Leicht;#WomenWin: How Gendered Representations of Candidates in Political Satire Affect Public Opinion during US Presidential Elections
Public Opinion and Political Communication;1422;Fake News;MP5-SanFrancisco;Thursday;17:00;Caroline Leicht;Daniel Auer;Andrea De Angelis, Moreno Mancosu, Federico Vegetti;Unpacking post-truth: a truth-plausibility framework of political information
Comparative Politics;1513;Electoral Systems in Comparative Perspective;MP7-314;Thursday;17:00;Brenda Van Coppenolle;Jaime Bordel Gil;Kento Ohara, Kentaro Kawato;Legislative agenda and behaviour in Japan: A differentiated effect of electoral reform
Comparative Politics;1513;Electoral Systems in Comparative Perspective;MP7-314;Thursday;17:00;Brenda Van Coppenolle;Jaime Bordel Gil;Haishan Yuan;National Representation and Local Public Expenditure: A Natural Experiment from Japan
Comparative Politics;1513;Electoral Systems in Comparative Perspective;MP7-314;Thursday;17:00;Brenda Van Coppenolle;Jaime Bordel Gil;Jaime Bordel Gil;Strategic Distortion: Exploring Malapportionment in Authoritarian Regimes and Its Effects on Electoral Representation
Comparative Politics;1513;Electoral Systems in Comparative Perspective;MP7-314;Thursday;17:00;Brenda Van Coppenolle;Jaime Bordel Gil;Brenda Van Coppenolle, Nadim Farhat;Give them votes and make mine count: Legislators, Proportional Representation and Universal Suffrage tempered by plural voting in Belgium
Comparative Politics;1513;Electoral Systems in Comparative Perspective;MP7-314;Thursday;17:00;Brenda Van Coppenolle;Jaime Bordel Gil;Hoju Cheong;Electoral reform and presidential powers.
Comparative Politics;1521;Constitutional Reforms;MP6-4;Thursday;17:00;Leonardo Carella;Michael Imre;Anna Wilke, Moritz Marbach;How Elite Discourse and Gender Stereotypes Shape Citizens’ Support for Constitutional Principles
Comparative Politics;1521;Constitutional Reforms;MP6-4;Thursday;17:00;Leonardo Carella;Michael Imre;Leonardo Carella, Klaudia Wegschaider;Explaining the Great Switch to PR: The Party-Control Versus Government-Control Trade-Off
Comparative Politics;1521;Constitutional Reforms;MP6-4;Thursday;17:00;Leonardo Carella;Michael Imre;Michael Imre, Wolfgang C. Müller;Explaining the Frequency of Constitutional Amendments in Austria
Comparative Politics;1521;Constitutional Reforms;MP6-4;Thursday;17:00;Leonardo Carella;Michael Imre;Or Asher;What is Civil Society Organizations' role in Constitution-Making Processes? Evidence from Israel and Ireland
Comparative Politics;1521;Constitutional Reforms;MP6-4;Thursday;17:00;Leonardo Carella;Michael Imre;Elvin Yusifli;Western-trained alumni in the corridors of power: exploring the linkage between Western education and governance reforms in developing countries
European Politics;1602;EU Policy Processes;MP5-Rom;Thursday;17:00;Steffen Hurka;Lucas Schramm;Anastasia Ershova;Suprnationalisation through Implementation? Delegation Dynamics and the Role of Public Support for EU action
European Politics;1602;EU Policy Processes;MP5-Rom;Thursday;17:00;Steffen Hurka;Lucas Schramm;Matilde Ceron, Andrea Fazio, Franscesco Scervini;Exposure to democracy and MEPs attitude toward EU integration
European Politics;1602;EU Policy Processes;MP5-Rom;Thursday;17:00;Steffen Hurka;Lucas Schramm;Steffen Hurka;Treated by the Treaty? How the expansion of co-decision affected the complexity of EU legislation
European Politics;1602;EU Policy Processes;MP5-Rom;Thursday;17:00;Steffen Hurka;Lucas Schramm;Alex Hoppe, Thomas Laloux;Understanding delegation to technical meetings in trilogue negotiations
European Politics;1602;EU Policy Processes;MP5-Rom;Thursday;17:00;Steffen Hurka;Lucas Schramm;Paula Montano, David Liao;Grandstanding under the Spotlight: Unveiling European Elites Crisis Communication in the Council of the European Union
Formal Political Theory;1701;Formal Models of Authoritarian Politics;MP8-Large;Thursday;17:00;Indridi Indridason;Babak Rezaee Daryakeanri;Congyi Zhou, Liqun Liu;Dynamic Censorship and Government Regulation
Formal Political Theory;1701;Formal Models of Authoritarian Politics;MP8-Large;Thursday;17:00;Indridi Indridason;Babak Rezaee Daryakeanri;Emre Ekinci, Esra İşsever Ekinci;Censorship in Hybrid Authoritarian Regimes: The Roles of Voter Mobilization and Polarization
Formal Political Theory;1701;Formal Models of Authoritarian Politics;MP8-Large;Thursday;17:00;Indridi Indridason;Babak Rezaee Daryakeanri;Felix Dwinger;Purges and Reputation
Formal Political Theory;1701;Formal Models of Authoritarian Politics;MP8-Large;Thursday;17:00;Indridi Indridason;Babak Rezaee Daryakeanri;Gabriel Leon-Ablan;Why security agents follow orders: Hierarchical organization and the repression of protest
Party Politics;1809;Coalition Politics;MP5-Barcelona;Thursday;17:00;Jochen Rehmert;Florence So;Jochen Rehmert, Maria Thürk, Mingyi Zhang;Bargaining Leverage and Coalition Cabinet Termination
Party Politics;1809;Coalition Politics;MP5-Barcelona;Thursday;17:00;Jochen Rehmert;Florence So;Ida Hjermitslev, Svenja Krauss;How do voters evaluate coalition formation and portfolio allocation?
Party Politics;1809;Coalition Politics;MP5-Barcelona;Thursday;17:00;Jochen Rehmert;Florence So;Sophie Suda;Never ever getting together? Opposition parties' strategic behaviour towards the government
Party Politics;1809;Coalition Politics;MP5-Barcelona;Thursday;17:00;Jochen Rehmert;Florence So;Ulrich Sieberer, Thomas M. Meyer, Koichi Osamura, David Schmuck;Explaining changes in the distribution of policy competencies in multiparty governments
Party Politics;1809;Coalition Politics;MP5-Barcelona;Thursday;17:00;Jochen Rehmert;Florence So;Alejandro Ecker;Pre-electoral coalition formation and consideration set models of electoral behavior
Conflict and Security;1912;Electoral Violence;MP6-3;Thursday;17:00;Juliana Tappe Ortiz;Maureen Fubara;Maureen Fubara;Rents, subnational incumbents, and electoral violence perpetrators in Nigeria
Conflict and Security;1912;Electoral Violence;MP6-3;Thursday;17:00;Juliana Tappe Ortiz;Maureen Fubara;Nils-Christian Bormann, Edoardo Vigano, Bruno Della Sala, Stefan Stojkovic;Political Violence and Anti-System Voting in Interwar Italy and Yugoslavia
Conflict and Security;1912;Electoral Violence;MP6-3;Thursday;17:00;Juliana Tappe Ortiz;Maureen Fubara;Juliana Tappe Ortiz;Activists Killings and Gendered Risk Preferences at the Ballot Box: Evidence from Colombia
Conflict and Security;1912;Electoral Violence;MP6-3;Thursday;17:00;Juliana Tappe Ortiz;Maureen Fubara;Noyonika Das;Violence for Control: Explaining Violent Local Elections in India
Political Methodology;2005;Measurement and Data Collection 2;MP7-315;Thursday;17:00;Per Andersson;Guido Panzano;Guido Panzano, Luca Tomini;Regime developments and critical junctures: a reassessment with novel data
Political Methodology;2005;Measurement and Data Collection 2;MP7-315;Thursday;17:00;Per Andersson;Guido Panzano;Daniele Guariso, Stefano Costalli, Andrea Ruggeri, Patricia Justino;Political Conflict and Violence in a Young Democracy: Data on Italy 1969-1988
Political Methodology;2005;Measurement and Data Collection 2;MP7-315;Thursday;17:00;Per Andersson;Guido Panzano;Christoph Dworschak, Hannah Frank, Maxine Leis, Christian Oswald, Maurice Schumann;Resistance in the Streets, Data in the Sheets: A conceptual and empirical appraisal of protest event data
International Relations;2116;Political Violence 2;MP7-316;Thursday;17:00;Kevin Clarke;Kevin Clarke;Jean-Paul Azam, Jérome Ferret;Radicalization of Islam or Peddling Radicalism? Lessons from the French Experience
International Relations;2116;Political Violence 2;MP7-316;Thursday;17:00;Kevin Clarke;Kevin Clarke;Iliyan Iliev, Brandon Kinne, Nahrain Bet Younadam;Verbal Attacks on ISIS Increased Violence Against Civilians
International Relations;2116;Political Violence 2;MP7-316;Thursday;17:00;Kevin Clarke;Kevin Clarke;Constantin Ruhe, Osman Suntay, Richard Traunmüller, Sigrid Roßteutscher;Extremist violence, discrimination and Muslim religious identification
Political Representation;1114;Electoral System and Voting Behavior;MP5-Rom;Friday;09:00;David Hendry;Michael Herron;David Hendry, Jason Coronel;Bilingual Ballots and Political Choice: A Regression Discontinuity Approach
Political Representation;1114;Electoral System and Voting Behavior;MP5-Rom;Friday;09:00;David Hendry;Michael Herron;Michael Herron, Daniel Smith;Curing the Vote: Who Corrects their Rejected Mail Ballots?
Political Representation;1114;Electoral System and Voting Behavior;MP5-Rom;Friday;09:00;David Hendry;Michael Herron;Thorsten Faas, Aiko Wagner;Biases or Experiences – What Drives Perceptions of Electoral Integrity in the Context of a Failed State Election?
Political Behavior;1006;Political Mobilization;MP6-2;Friday;09:00;Ilona Lahdelma;Pau Grau;Ilona Lahdelma, Jordi Domenech, Jakob Molinder;The shadow of inequality amongst egality: How Sweden's history of unequal representation affected later democratic behavior
Political Behavior;1006;Political Mobilization;MP6-2;Friday;09:00;Ilona Lahdelma;Pau Grau;Lennart Schürmann;Citizens Protest Locally, Political Elites Protest Globally: Analyzing the Dynamics of Electoral Campaigns and Street Mobilization in Multilevel Electoral Systems
Political Behavior;1006;Political Mobilization;MP6-2;Friday;09:00;Ilona Lahdelma;Pau Grau;Francisco Tomas-Valiente, Asli Ceren Cinar, Florian Foos, Peter John;Revisiting the differential mobilisation hypothesis: An individual participant data meta-analysis
Political Behavior;1006;Political Mobilization;MP6-2;Friday;09:00;Ilona Lahdelma;Pau Grau;Julia Schulte-Cloos, Jennifer Oser, Hahrie Han;Becoming architects of political change: The organizing capacity of democratic micro-practices in the digital age
Political Behavior;1006;Political Mobilization;MP6-2;Friday;09:00;Ilona Lahdelma;Pau Grau;Jose Maycas;Is That the Way? Tertiarization in Local Communities
Political Behavior;1010;Support for Democracy 1;MP7-Saal;Friday;09:00;Sirianne Dahlum;Annika Werner;Milan Svolik, Austin Jang;Measuring Support for Democracy: Attitudinal versus Revealed-Preference Measures
Political Behavior;1010;Support for Democracy 1;MP7-Saal;Friday;09:00;Sirianne Dahlum;Annika Werner;Michael Jankowski, Simon Otjes, David Willumsen;You don’t always get what you want. How government formation influences citizens’ satisfaction with democracy
Political Behavior;1010;Support for Democracy 1;MP7-Saal;Friday;09:00;Sirianne Dahlum;Annika Werner;Jan Vogler;Bureaucracy and Democracy: The Importance of Public Services to Citizens’ Lives and Trust in Government
Political Behavior;1010;Support for Democracy 1;MP7-Saal;Friday;09:00;Sirianne Dahlum;Annika Werner;Theresa Gessler, Endre Borbáth;The Hour of the Citizen – The Evolution of Eastern Europeans’ Conceptions of Democracy
Political Behavior;1010;Support for Democracy 1;MP7-Saal;Friday;09:00;Sirianne Dahlum;Annika Werner;Sirianne Dahlum, Tore Wig, Daniel Golstein, Kaja Bakke;Elite commitments to democracy: Experimental evidence from Norway
Political Representation;1117;How Citizens Perceive Political Representation;MP6-1;Friday;09:00;Stefanie Bailer;Chitralekha Basu;Philippe Mongrain, Nino Junius, Nathalie Brack;As You Wish? Public Preferences for Models of Representation and MPs’ Role Orientations
Political Representation;1117;How Citizens Perceive Political Representation;MP6-1;Friday;09:00;Stefanie Bailer;Chitralekha Basu;Bartolomeo Cappellina, Dylan Paltra, Christopher Wratil;How Do Citizens Think About Representation? Evidence from In-Depth Interviews and Focus Groups in Five Countries
Political Representation;1117;How Citizens Perceive Political Representation;MP6-1;Friday;09:00;Stefanie Bailer;Chitralekha Basu;Dylan Paltra, Bartolomeo Cappellina, Christopher Wratil;The Citizens' Concept of Representation: Evidence from an Open-Ended Questions Survey
Political Representation;1117;How Citizens Perceive Political Representation;MP6-1;Friday;09:00;Stefanie Bailer;Chitralekha Basu;Stefanie Bailer;Time Congruence: Do politicians and voters have similar ideas how representatives should spend their time
Political Representation;1123;Vote Choice;MP7-316;Friday;09:00;Noam Lupu;Toine Paulissen;Toine Paulissen;What Drives the Level of Party Participation in Digital Referendum Campaigns? Evidence from Switzerland
Political Representation;1123;Vote Choice;MP7-316;Friday;09:00;Noam Lupu;Toine Paulissen;Giuseppe Ciccolini, Anne-Marie Jeannet;"What the Future Holds for the ""Places that Don’t Matter"" and Why It Matters for Politics"
Political Representation;1123;Vote Choice;MP7-316;Friday;09:00;Noam Lupu;Toine Paulissen;Jannik Fenger;How Policy Information Enlighten Public Opinion in the Real World: Evidence From Four EU Referendums
Political Representation;1123;Vote Choice;MP7-316;Friday;09:00;Noam Lupu;Toine Paulissen;Francisca Castro, Jennifer Oser;Does Legislative Responsiveness Pay Off? Abortion Law and the Green Tide in Argentina
Political Representation;1123;Vote Choice;MP7-316;Friday;09:00;Noam Lupu;Toine Paulissen;Rikhil Bhavnani, Priyadarshi Amar, Amit Jadhav;The Effects of Direct Elections on Program Implementation: Evidence from India's Village Councils
Political Economy;1208;All Policies are Distributive;MP7-315;Friday;09:00;Søren Etzerodt;Ludwig Schulze;Hanno Hilbig, Vincent Heddesheimer, Andreas Wiedemann;Investing in unity: the political consequences of place based policies in Germany
Political Economy;1208;All Policies are Distributive;MP7-315;Friday;09:00;Søren Etzerodt;Ludwig Schulze;Alexander Horn, Leo Ahrens;The Broken Promise of Equality: How egalitarian governments pursue equality yet evade redistribution
Political Economy;1208;All Policies are Distributive;MP7-315;Friday;09:00;Søren Etzerodt;Ludwig Schulze;Moritz Hennicke, Werner Krause, Anselm Hager, Lukas Mergele;Privatizations Spark Socialist Backlash: Evidence from East Germany’s Transformation
Political Economy;1208;All Policies are Distributive;MP7-315;Friday;09:00;Søren Etzerodt;Ludwig Schulze;Matthew Shaikh;Health effects of economic policy: Mortality convergence between former coal mining and non- mining areas in England and Wales 1981-2019
Political Economy;1208;All Policies are Distributive;MP7-315;Friday;09:00;Søren Etzerodt;Ludwig Schulze;Søren Etzerodt;The Political Shadows of Industrial Job Displacements: How to Compensate Losers from a Major Plant Closure
Political Economy;1215;Winners and Losers from Trade;MP8-Large;Friday;09:00;Rena Sung;Carolina Garriga;Sofia Vasilopoulou, Chen Zeng, Dan Keith, Liisa Talving;Who gains? Relative regional gains and support for international trade in the UK
Political Economy;1215;Winners and Losers from Trade;MP8-Large;Friday;09:00;Rena Sung;Carolina Garriga;Andreas Dür;Democracies, Non-Democracies, and the Geopoliticization of Trade Policy
Political Economy;1215;Winners and Losers from Trade;MP8-Large;Friday;09:00;Rena Sung;Carolina Garriga;Guri Rosén, Jørgen Bølstad, Andreas Dür, Jonathan Polk;Ex post or ex ante? Citizens’ preferences for government responses to economic openness
Political Economy;1215;Winners and Losers from Trade;MP8-Large;Friday;09:00;Rena Sung;Carolina Garriga;Dan Jones, Erica Owen, Rena Sung;Differential exposure to negative economic shocks and racial resentment
Public Policy and Administration;1307;Environmental Governance;MP6-5;Friday;09:00;Rens Chazottes;Silvia Pianta;Thomas Bernauer;Can Policy-Sequencing Increase the Political Feasibility of Ambitious Environmental Governance? Experimental Evidence from Attempts to Reduce Food Waste in Switzerland
Public Policy and Administration;1307;Environmental Governance;MP6-5;Friday;09:00;Rens Chazottes;Silvia Pianta;Silvia Claveria, Pablo Simon;Understanding Public Support for Climate Change Policies: A Conjoint Analysis of Low Emission Zones in Spain
Public Policy and Administration;1307;Environmental Governance;MP6-5;Friday;09:00;Rens Chazottes;Silvia Pianta;Rens Chazottes, Tarek Jaziri, Nina Lopez-Uroz;Drought, Water Restrictions, and Elections: A Study of Voter Behaviour in the Face of Water Restrictions in France
Public Policy and Administration;1307;Environmental Governance;MP6-5;Friday;09:00;Rens Chazottes;Silvia Pianta;Dennis Abel, Manuel Linsenmeier;Feedback effects between local climate policy sequences and public opinion in Germany
Public Policy and Administration;1307;Environmental Governance;MP6-5;Friday;09:00;Rens Chazottes;Silvia Pianta;Erik Neimanns;Economic growth, greenhouse gas emissions, and voting behavior: Any evidence of political decoupling?
Public Opinion and Political Communication;1403;Hate Speech 1;MP7-20;Friday;09:00;Alexander Wuttke;Danie Stockmann;Jasmin Rath;Offended or entertained? How triggered emotions shape the consequences of elite incivility for political support
Public Opinion and Political Communication;1403;Hate Speech 1;MP7-20;Friday;09:00;Alexander Wuttke;Danie Stockmann;Laura Bronner, Philip Grech, Dominik Hangartner;Tackling harmful online comments with targeted email feedback
Public Opinion and Political Communication;1403;Hate Speech 1;MP7-20;Friday;09:00;Alexander Wuttke;Danie Stockmann;Simon Munzert, Julia Ellingwood, Lisa Oswald, Richard Traunmüller;Global Preferences for Online Hate Speech Regulation
